id,race_date,race_key,rank,pred_combo,n_combos,hit,payout,bet_amount,route,miwokuri,prerace_gami,trio_payout,gap23,trifecta_payout,gap12,gap34,gate_label,win_rank,ratio
826719,2026-04-02,20260402_27_06#7SS,RANK_7SS,"2=5-1,3,4,6,7 (score=5.63)",5,0,0,500,wt,False,,1150,,0,,,,,
826720,2026-04-02,20260402_27_10#7SS,RANK_7SS,"2=5-1,3,4,6,7 (score=8.61)",5,0,0,500,wt,False,,3940,,0,,,,,
826721,2026-04-02,20260402_81_01#7SS,RANK_7SS,"1=5-2,3,4,6,7 (score=5.11)",5,0,0,500,wt,False,,1910,,0,,,,,
826722,2026-04-02,20260402_81_03#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=5.90)",5,0,0,500,wt,False,,6130,,0,,,,,
826723,2026-04-02,20260402_56_02#7SS,RANK_7SS,"1=5-2,3,4,6,7 (score=6.00)",5,0,0,500,wt,False,,2860,,0,,,,,
826724,2026-04-02,20260402_56_06#7SS,RANK_7SS,"1=7-2,3,4,5,6 (score=5.64)",5,0,0,500,wt,False,,1510,,0,,,,,
826725,2026-05-09,20260509_87_06#7SS,RANK_7SS,"1=7-2,3,4,5,6 (score=9.99)",5,0,0,500,wt,False,,540,,0,,,,,
826726,2026-04-02,20260402_56_08#7SS,RANK_7SS,"2=5-1,3,4,6,7 (score=8.78)",5,0,0,500,wt,False,,1060,,0,,,,,
826727,2026-04-02,20260402_56_09#7SS,RANK_7SS,"7=3-1,2,4,5,6 (score=5.12)",5,1,290,500,wt,False,,290,,0,,,,,
826728,2026-04-02,20260402_61_04#7SS,RANK_7SS,"5=1-2,3,4,6,7 (score=5.52)",5,1,370,500,wt,False,,370,,0,,,,,
826729,2026-04-02,20260402_61_07#7SS,RANK_7SS,"4=3-1,2,5,6,7 (score=6.90)",5,1,720,500,wt,False,,720,,0,,,,,
826730,2026-04-02,20260402_61_08#7SS,RANK_7SS,"7=2-1,3,4,5,6 (score=6.77)",5,0,0,500,wt,False,,1280,,0,,,,,
826731,2026-04-03,20260403_24_02#7SS,RANK_7SS,"1=4-2,3,5,6,7 (score=4.80)",5,1,450,500,wt,False,,450,,0,,,,,
826732,2026-04-03,20260403_42_02#7SS,RANK_7SS,"1=3-2,4,5,6,7 (score=5.09)",5,0,0,500,wt,False,,210,,0,,,,,
826733,2026-04-03,20260403_42_04#7SS,RANK_7SS,"1=5-2,3,4,6,7 (score=5.83)",5,0,0,500,wt,False,,7930,,0,,,,,
826734,2026-05-09,20260509_87_09#7SS,RANK_7SS,"3=5-1,2,4,6,7 (score=10.04)",5,0,0,500,wt,False,,8060,,0,,,,,
826735,2026-04-03,20260403_27_06#7SS,RANK_7SS,"2=5-1,3,4,6,7 (score=6.69)",5,0,0,500,wt,False,,360,,0,,,,,
826736,2026-04-03,20260403_27_08#7SS,RANK_7SS,"1=4-2,3,5,6,7 (score=6.88)",5,0,0,500,wt,False,,560,,0,,,,,
826737,2026-04-03,20260403_81_02#7SS,RANK_7SS,"1=4-2,3,5,6,7 (score=4.83)",5,0,0,500,wt,False,,2480,,0,,,,,
826738,2026-04-03,20260403_56_02#7SS,RANK_7SS,"2=4-1,3,5,6,7 (score=5.69)",5,0,0,500,wt,False,,1950,,0,,,,,
826739,2026-04-03,20260403_56_06#7SS,RANK_7SS,"7=4-1,2,3,5,6 (score=9.45)",5,0,0,500,wt,False,,5440,,0,,,,,
826740,2026-04-03,20260403_56_07#7SS,RANK_7SS,"5=2-1,3,4,6,7 (score=8.10)",5,0,0,500,wt,False,,2130,,0,,,,,
826741,2026-04-03,20260403_61_06#7SS,RANK_7SS,"4=1-2,3,5,6,7 (score=6.06)",5,0,0,500,wt,False,,1780,,0,,,,,
826742,2026-04-03,20260403_61_07#7SS,RANK_7SS,"1=4-2,3,5,6,7 (score=4.84)",5,0,0,500,wt,False,,370,,0,,,,,
826743,2026-04-03,20260403_61_08#7SS,RANK_7SS,"5=1-2,3,4,6,7 (score=8.72)",5,0,0,500,wt,False,,1700,,0,,,,,
826744,2026-05-09,20260509_87_10#7SS,RANK_7SS,"1=7-2,3,4,5,6 (score=6.19)",5,1,540,500,wt,False,,540,,0,,,,,
826745,2026-04-03,20260403_61_09#7SS,RANK_7SS,"7=4-1,2,3,5,6 (score=6.57)",5,0,0,500,wt,False,,17730,,0,,,,,
826746,2026-04-04,20260404_61_01#7SS,RANK_7SS,"4=7-1,2,3,5,6 (score=6.44)",5,0,0,500,wt,False,,930,,0,,,,,
826747,2026-04-04,20260404_61_04#7SS,RANK_7SS,"1=7-2,3,4,5,6 (score=5.64)",5,0,0,500,wt,False,,3100,,0,,,,,
826748,2026-04-04,20260404_61_05#7SS,RANK_7SS,"3=2-1,4,5,6,7 (score=6.11)",5,0,0,500,wt,False,,4350,,0,,,,,
826749,2026-04-04,20260404_61_06#7SS,RANK_7SS,"4=1-2,3,5,6,7 (score=5.23)",5,0,0,500,wt,False,,590,,0,,,,,
826750,2026-04-04,20260404_61_07#7SS,RANK_7SS,"5=2-1,3,4,6,7 (score=6.37)",5,0,0,500,wt,False,,1820,,0,,,,,
826751,2026-04-04,20260404_61_09#7SS,RANK_7SS,"3=7-1,2,4,5,6 (score=5.17)",5,0,0,500,wt,False,,3560,,0,,,,,
826752,2026-04-04,20260404_37_01#7SS,RANK_7SS,"3=2-1,4,5,6,7 (score=8.95)",5,1,560,500,wt,False,,560,,0,,,,,
826753,2026-04-04,20260404_13_05#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=5.87)",5,0,0,500,wt,False,,220,,0,,,,,
826754,2026-04-05,20260405_47_03#7SS,RANK_7SS,"1=5-2,3,4,6,7 (score=6.49)",5,0,0,500,wt,False,,11900,,0,,,,,
826755,2026-04-05,20260405_13_03#7SS,RANK_7SS,"1=3-2,4,5,6,7 (score=6.88)",5,1,2520,500,wt,False,,2520,,0,,,,,
826756,2026-04-05,20260405_13_04#7SS,RANK_7SS,"1=3-2,4,5,6,7 (score=9.09)",5,0,0,500,wt,False,,1460,,0,,,,,
826757,2026-04-05,20260405_45_08#7SS,RANK_7SS,"5=4-1,2,3,6,7 (score=7.66)",5,1,1540,500,wt,False,,1540,,0,,,,,
826758,2026-04-05,20260405_23_01#7SS,RANK_7SS,"2=7-1,3,4,5,6 (score=7.26)",5,0,0,500,wt,False,,1310,,0,,,,,
826759,2026-04-05,20260405_22_02#7SS,RANK_7SS,"1=4-2,3,5,6,7 (score=5.37)",5,0,0,500,wt,False,,190,,0,,,,,
826760,2026-04-05,20260405_22_06#7SS,RANK_7SS,"5=4-1,2,3,6,7 (score=5.34)",5,1,260,500,wt,False,,260,,0,,,,,
826761,2026-04-05,20260405_22_08#7SS,RANK_7SS,"4=7-1,2,3,5,6 (score=6.73)",5,0,0,500,wt,False,,1080,,0,,,,,
826762,2026-04-05,20260405_22_09#7SS,RANK_7SS,"3=4-1,2,5,6,7 (score=5.23)",5,0,0,500,wt,False,,340,,0,,,,,
826763,2026-04-05,20260405_22_10#7SS,RANK_7SS,"7=1-2,3,4,5,6 (score=7.05)",5,0,0,500,wt,False,,3590,,0,,,,,
826764,2026-04-05,20260405_22_11#7SS,RANK_7SS,"7=2-1,3,4,5,6 (score=5.67)",5,0,0,500,wt,False,,370,,0,,,,,
826765,2026-04-05,20260405_22_12#7SS,RANK_7SS,"2=1-3,4,5,6,7 (score=6.93)",5,0,0,500,wt,False,,1580,,0,,,,,
826766,2026-04-05,20260405_74_07#7SS,RANK_7SS,"3=4-1,2,5,6,7 (score=5.29)",5,0,0,500,wt,False,,9510,,0,,,,,
826767,2026-04-05,20260405_74_08#7SS,RANK_7SS,"2=7-1,3,4,5,6 (score=6.63)",5,1,770,500,wt,False,,770,,0,,,,,
826768,2026-04-05,20260405_74_11#7SS,RANK_7SS,"7=1-2,3,4,5,6 (score=6.23)",5,1,210,500,wt,False,,210,,0,,,,,
826769,2026-04-05,20260405_74_12#7SS,RANK_7SS,"5=1-2,3,4,6,7 (score=5.51)",5,1,670,500,wt,False,,670,,0,,,,,
826770,2026-04-06,20260406_13_02#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=9.44)",5,1,270,500,wt,False,,270,,0,,,,,
826771,2026-04-06,20260406_45_05#7SS,RANK_7SS,"5=1-2,3,4,6,7 (score=5.60)",5,0,0,500,wt,False,,490,,0,,,,,
826772,2026-04-06,20260406_45_07#7SS,RANK_7SS,"5=1-2,3,4,6,7 (score=5.38)",5,1,520,500,wt,False,,520,,0,,,,,
826773,2026-04-06,20260406_23_02#7SS,RANK_7SS,"5=3-1,2,4,6,7 (score=5.66)",5,0,0,500,wt,False,,1630,,0,,,,,
826774,2026-04-06,20260406_23_05#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=6.00)",5,0,0,500,wt,False,,1130,,0,,,,,
826775,2026-04-06,20260406_23_07#7SS,RANK_7SS,"1=5-2,3,4,6,7 (score=5.08)",5,0,0,500,wt,False,,17480,,0,,,,,
826776,2026-04-06,20260406_74_01#7SS,RANK_7SS,"5=1-2,3,4,6,7 (score=4.97)",5,0,0,500,wt,False,,4070,,0,,,,,
826777,2026-04-06,20260406_74_02#7SS,RANK_7SS,"4=5-1,2,3,6,7 (score=5.56)",5,0,0,500,wt,False,,4490,,0,,,,,
826778,2026-04-06,20260406_74_07#7SS,RANK_7SS,"2=1-3,4,5,6,7 (score=7.72)",5,0,0,500,wt,False,,1890,,0,,,,,
826779,2026-04-06,20260406_74_08#7SS,RANK_7SS,"2=4-1,3,5,6,7 (score=6.57)",5,0,0,500,wt,False,,1360,,0,,,,,
826780,2026-04-06,20260406_74_09#7SS,RANK_7SS,"3=1-2,4,5,6,7 (score=6.49)",5,0,0,500,wt,False,,2800,,0,,,,,
826781,2026-04-06,20260406_74_10#7SS,RANK_7SS,"2=1-3,4,5,6,7 (score=6.21)",5,1,290,500,wt,False,,290,,0,,,,,
826782,2026-04-06,20260406_22_06#7SS,RANK_7SS,"1=3-2,4,5,6,7 (score=5.61)",5,1,290,500,wt,False,,290,,0,,,,,
826783,2026-04-06,20260406_22_08#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=8.45)",5,1,1710,500,wt,False,,1710,,0,,,,,
826784,2026-04-06,20260406_22_09#7SS,RANK_7SS,"5=1-2,3,4,6,7 (score=5.61)",5,0,0,500,wt,False,,4370,,0,,,,,
826785,2026-04-06,20260406_22_12#7SS,RANK_7SS,"4=1-2,3,5,6,7 (score=8.48)",5,0,0,500,wt,False,,740,,0,,,,,
826786,2026-04-06,20260406_42_02#7SS,RANK_7SS,"2=1-3,4,5,6,7 (score=5.67)",5,0,0,500,wt,False,,5550,,0,,,,,
826787,2026-04-06,20260406_42_06#7SS,RANK_7SS,"1=4-2,3,5,6,7 (score=8.26)",5,0,0,500,wt,False,,13480,,0,,,,,
826788,2026-04-06,20260406_42_09#7SS,RANK_7SS,"7=2-1,3,4,5,6 (score=4.97)",5,0,0,500,wt,False,,2610,,0,,,,,
826789,2026-04-06,20260406_42_11#7SS,RANK_7SS,"2=7-1,3,4,5,6 (score=8.32)",5,1,1170,500,wt,False,,1170,,0,,,,,
826790,2026-04-06,20260406_42_12#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=8.04)",5,0,0,500,wt,False,,5390,,0,,,,,
826791,2026-04-07,20260407_23_04#7SS,RANK_7SS,"2=4-1,3,5,6,7 (score=5.71)",5,1,1560,500,wt,False,,1560,,0,,,,,
826792,2026-04-07,20260407_74_01#7SS,RANK_7SS,"2=1-3,4,5,6,7 (score=7.72)",5,0,0,500,wt,False,,3820,,0,,,,,
